accuracy,precision,recall,f1,week
1.0,1.0,1.0,1.0,2023-04-30
0.5251798561151079,0.5227272727272727,0.9583333333333334,0.6764705882352942,2023-05-07
0.6575342465753424,0.5802469135802469,0.746031746031746,0.6527777777777778,2023-05-14
0.6098484848484849,0.6708074534161491,0.6835443037974683,0.677115987460815,2023-05-21
0.7121212121212122,0.7785714285714286,0.7077922077922078,0.7414965986394558,2023-05-28
0.7310606060606061,0.72,0.7883211678832117,0.7526132404181185,2023-06-04
0.7613636363636364,0.7207792207792207,0.8473282442748091,0.7789473684210526,2023-06-11
0.7575757575757576,0.7299270072992701,0.7874015748031497,0.7575757575757576,2023-06-18
0.8333333333333334,0.9107142857142857,0.75,0.8225806451612904,2023-06-25
0.8576642335766423,0.8828125,0.8248175182481752,0.8528301886792453,2023-07-02
0.8138686131386861,0.7744360902255639,0.8306451612903226,0.8015564202334631,2023-07-09
0.8065693430656934,0.6833333333333333,0.845360824742268,0.7557603686635944,2023-07-16
0.6638888888888889,0.33098591549295775,0.6438356164383562,0.4372093023255814,2023-07-23
0.8038147138964578,0.6764705882352942,0.27380952380952384,0.3898305084745763,2023-07-30
0.7950819672131147,0.7017543859649122,0.40816326530612246,0.5161290322580645,2023-08-06
0.8508997429305912,0.5540540540540541,0.6212121212121212,0.5857142857142857,2023-08-13
0.8031088082901554,0.7142857142857143,0.4,0.5128205128205128,2023-08-20
0.8144329896907216,0.8289473684210527,0.5163934426229508,0.6363636363636364,2023-08-27
0.7860824742268041,0.8842105263157894,0.5384615384615384,0.6693227091633466,2023-09-03
0.8512820512820513,0.8074074074074075,0.7730496453900709,0.7898550724637681,2023-09-10
0.7581699346405228,1.0,0.7581699346405228,0.862453531598513,2023-09-17
