accuracy,precision,recall,f1,week
1.0,1.0,1.0,1.0,2023-04-30
0.5251798561151079,0.5227272727272727,0.9583333333333334,0.6764705882352942,2023-05-07
0.6506849315068494,0.5789473684210527,0.6984126984126984,0.6330935251798561,2023-05-14
0.5340909090909091,0.6296296296296297,0.5379746835443038,0.5802047781569966,2023-05-21
0.6742424242424242,0.7615384615384615,0.6428571428571429,0.6971830985915493,2023-05-28
0.7386363636363636,0.7328767123287672,0.781021897810219,0.7561837455830389,2023-06-04
0.7689393939393939,0.7734375,0.7557251908396947,0.7644787644787645,2023-06-11
0.7462121212121212,0.7380952380952381,0.7322834645669292,0.7351778656126482,2023-06-18
0.8446969696969697,0.8991596638655462,0.7867647058823529,0.8392156862745098,2023-06-25
0.864963503649635,0.8424657534246576,0.8978102189781022,0.8692579505300353,2023-07-02
0.7956204379562044,0.7575757575757576,0.8064516129032258,0.78125,2023-07-09
0.8211678832116789,0.7,0.865979381443299,0.7741935483870968,2023-07-16
0.6777777777777778,0.3383458646616541,0.6164383561643836,0.4368932038834951,2023-07-23
0.776566757493188,0.5178571428571429,0.34523809523809523,0.4142857142857143,2023-07-30
0.7814207650273224,0.6956521739130435,0.32653061224489793,0.4444444444444444,2023-08-06
0.8483290488431876,0.5492957746478874,0.5909090909090909,0.5693430656934306,2023-08-13
0.8160621761658031,0.7457627118644068,0.44,0.5534591194968553,2023-08-20
0.8067010309278351,0.7831325301204819,0.5327868852459017,0.6341463414634146,2023-08-27
0.788659793814433,0.8557692307692307,0.5705128205128205,0.6846153846153846,2023-09-03
0.8435897435897436,0.7777777777777778,0.7943262411347518,0.7859649122807018,2023-09-10
0.7712418300653595,1.0,0.7712418300653595,0.8708487084870848,2023-09-17
