accuracy,precision,recall,f1,week
0.628099173553719,0.628099173553719,1.0,0.7715736040609137,2023-04-30
0.5142857142857142,0.5142857142857142,1.0,0.6792452830188679,2023-05-07
0.7465753424657534,0.703125,0.7142857142857143,0.7086614173228346,2023-05-14
0.5681818181818182,0.6466666666666666,0.6139240506329114,0.6298701298701299,2023-05-21
0.7386363636363636,0.8346456692913385,0.6883116883116883,0.7544483985765125,2023-05-28
0.7689393939393939,0.7533333333333333,0.8248175182481752,0.7874564459930313,2023-06-04
0.8143939393939394,0.7847222222222222,0.8625954198473282,0.8218181818181818,2023-06-11
0.7954545454545454,0.7829457364341085,0.7952755905511811,0.7890625,2023-06-18
0.8446969696969697,0.9279279279279279,0.7573529411764706,0.8340080971659919,2023-06-25
0.864963503649635,0.8731343283582089,0.8540145985401459,0.8634686346863468,2023-07-02
0.8248175182481752,0.796875,0.8225806451612904,0.8095238095238095,2023-07-09
0.843065693430657,0.7454545454545455,0.845360824742268,0.7922705314009661,2023-07-16
0.6666666666666666,0.33093525179856115,0.6301369863013698,0.4339622641509434,2023-07-23
0.784741144414169,0.5490196078431373,0.3333333333333333,0.4148148148148148,2023-07-30
0.8032786885245902,0.703125,0.45918367346938777,0.5555555555555556,2023-08-06
0.8380462724935732,0.5194805194805194,0.6060606060606061,0.5594405594405595,2023-08-13
0.8134715025906736,0.7,0.49,0.5764705882352941,2023-08-20
0.8247422680412371,0.8292682926829268,0.5573770491803278,0.6666666666666666,2023-08-27
0.7912371134020618,0.8378378378378378,0.5961538461538461,0.6966292134831461,2023-09-03
0.841025641025641,0.7969924812030075,0.75177304964539,0.7737226277372263,2023-09-10
0.7450980392156863,1.0,0.7450980392156863,0.8539325842696629,2023-09-17
