accuracy,precision,recall,f1,week
1.0,1.0,1.0,1.0,2023-04-30
0.5251798561151079,0.5227272727272727,0.9583333333333334,0.6764705882352942,2023-05-07
0.6575342465753424,0.5802469135802469,0.746031746031746,0.6527777777777778,2023-05-14
0.5946969696969697,0.660377358490566,0.6645569620253164,0.6624605678233438,2023-05-21
0.6628787878787878,0.7407407407407407,0.6493506493506493,0.6920415224913494,2023-05-28
0.7462121212121212,0.7243589743589743,0.8248175182481752,0.7713310580204779,2023-06-04
0.7386363636363636,0.7066666666666667,0.8091603053435115,0.7544483985765125,2023-06-11
0.7651515151515151,0.7443609022556391,0.7795275590551181,0.7615384615384615,2023-06-18
0.8484848484848485,0.9,0.7941176470588235,0.84375,2023-06-25
0.8722627737226277,0.8984375,0.8394160583941606,0.8679245283018868,2023-07-02
0.8138686131386861,0.7744360902255639,0.8306451612903226,0.8015564202334631,2023-07-09
0.8248175182481752,0.7094017094017094,0.8556701030927835,0.7757009345794392,2023-07-16
0.6583333333333333,0.3046875,0.5342465753424658,0.3880597014925373,2023-07-23
0.7874659400544959,0.59375,0.2261904761904762,0.3275862068965517,2023-07-30
0.825136612021858,0.765625,0.5,0.6049382716049383,2023-08-06
0.8174807197943444,0.4675324675324675,0.5454545454545454,0.5034965034965035,2023-08-13
0.8160621761658031,0.704225352112676,0.5,0.5847953216374269,2023-08-20
0.8376288659793815,0.8734177215189873,0.5655737704918032,0.6865671641791045,2023-08-27
0.8015463917525774,0.8264462809917356,0.6410256410256411,0.7220216606498195,2023-09-03
0.8358974358974359,0.781021897810219,0.7588652482269503,0.7697841726618705,2023-09-10
0.7777777777777778,1.0,0.7777777777777778,0.875,2023-09-17
