ds,accuracy,precision,recall,f1,model
2023-05-07,0.6086956521739131,0.6086956521739131,1.0,0.7567567567567568,MLP
2023-05-14,0.6159420289855072,0.5346534653465347,0.9,0.6708074534161491,MLP
2023-05-21,0.7101449275362319,0.7738095238095238,0.7558139534883721,0.7647058823529411,MLP
2023-05-28,0.6650485436893204,0.8636363636363636,0.48717948717948717,0.6229508196721312,MLP
2023-06-04,0.625,0.6439393939393939,0.6204379562043796,0.6319702602230484,MLP
2023-06-11,0.7083333333333334,0.6588235294117647,0.8549618320610687,0.7441860465116279,MLP
2023-06-18,0.7689393939393939,0.746268656716418,0.7874015748031497,0.7662835249042146,MLP
2023-06-25,0.7196969696969697,0.7279411764705882,0.7279411764705882,0.7279411764705882,MLP
2023-07-02,0.6818181818181818,0.654320987654321,0.7910447761194029,0.7162162162162162,MLP
2023-07-09,0.7407407407407407,0.6857142857142857,0.7868852459016393,0.732824427480916,MLP
2023-07-16,0.6751824817518248,0.5425531914893617,0.5257731958762887,0.5340314136125655,MLP
2023-07-23,0.7230215827338129,0.35294117647058826,0.2903225806451613,0.3185840707964602,MLP
2023-07-30,0.6542372881355932,0.3524590163934426,0.6515151515151515,0.4574468085106383,MLP
2023-08-06,0.6825842696629213,0.4117647058823529,0.6292134831460674,0.49777777777777776,MLP
2023-08-13,0.7479674796747967,0.33884297520661155,0.7592592592592593,0.4685714285714286,MLP
2023-08-20,0.7792553191489362,0.5480769230769231,0.6129032258064516,0.5786802030456852,MLP
2023-08-27,0.7823834196891192,0.6461538461538462,0.6885245901639344,0.6666666666666666,MLP
2023-09-03,0.7474226804123711,0.8085106382978723,0.48717948717948717,0.608,MLP
2023-09-10,0.7628865979381443,0.6690140845070423,0.6785714285714286,0.6737588652482269,MLP
2023-09-17,0.6513157894736842,1.0,0.6513157894736842,0.7888446215139442,MLP
2023-05-07,0.6086956521739131,0.6086956521739131,1.0,0.7567567567567568,NHITS
2023-05-14,0.6304347826086957,0.5473684210526316,0.8666666666666667,0.6709677419354839,NHITS
2023-05-21,0.6521739130434783,0.8275862068965517,0.5581395348837209,0.6666666666666666,NHITS
2023-05-28,0.49029126213592233,0.6666666666666666,0.20512820512820512,0.3137254901960784,NHITS
2023-06-04,0.6553030303030303,0.6337209302325582,0.7956204379562044,0.7055016181229773,NHITS
2023-06-11,0.6856060606060606,0.6445783132530121,0.816793893129771,0.7205387205387206,NHITS
2023-06-18,0.6931818181818182,0.6493506493506493,0.7874015748031497,0.7117437722419929,NHITS
2023-06-25,0.7196969696969697,0.6890243902439024,0.8308823529411765,0.7533333333333333,NHITS
2023-07-02,0.696969696969697,0.6730769230769231,0.7835820895522388,0.7241379310344828,NHITS
2023-07-09,0.7407407407407407,0.7131147540983607,0.7131147540983607,0.7131147540983607,NHITS
2023-07-16,0.6824817518248175,0.55,0.5670103092783505,0.5583756345177665,NHITS
2023-07-23,0.6438848920863309,0.27710843373493976,0.3709677419354839,0.31724137931034485,NHITS
2023-07-30,0.6677966101694915,0.35714285714285715,0.6060606060606061,0.449438202247191,NHITS
2023-08-06,0.648876404494382,0.37142857142857144,0.5842696629213483,0.45414847161572053,NHITS
2023-08-13,0.6395663956639567,0.24183006535947713,0.6851851851851852,0.357487922705314,NHITS
2023-08-20,0.7420212765957447,0.4827586206896552,0.6021505376344086,0.5358851674641149,NHITS
2023-08-27,0.7668393782383419,0.6142857142857143,0.7049180327868853,0.6564885496183206,NHITS
2023-09-03,0.6907216494845361,0.68,0.4358974358974359,0.53125,NHITS
2023-09-10,0.6494845360824743,0.5112359550561798,0.65,0.5723270440251572,NHITS
2023-09-17,0.5789473684210527,1.0,0.5789473684210527,0.7333333333333333,NHITS
2023-05-07,0.6521739130434783,0.6463414634146342,0.9464285714285714,0.7681159420289855,TFT
2023-05-14,0.6521739130434783,0.5681818181818182,0.8333333333333334,0.6756756756756757,TFT
2023-05-21,0.5942028985507246,0.6744186046511628,0.6744186046511628,0.6744186046511628,TFT
2023-05-28,0.6359223300970874,0.7282608695652174,0.5726495726495726,0.6411483253588517,TFT
2023-06-04,0.6553030303030303,0.6619718309859155,0.6861313868613139,0.6738351254480287,TFT
2023-06-11,0.7083333333333334,0.6730769230769231,0.8015267175572519,0.7317073170731707,TFT
2023-06-18,0.678030303030303,0.65,0.7165354330708661,0.6816479400749064,TFT
2023-06-25,0.6060606060606061,0.6702127659574468,0.4632352941176471,0.5478260869565217,TFT
2023-07-02,0.7121212121212122,0.7071428571428572,0.7388059701492538,0.7226277372262774,TFT
2023-07-09,0.7037037037037037,0.6693548387096774,0.680327868852459,0.6747967479674797,TFT
2023-07-16,0.7773722627737226,0.6607142857142857,0.7628865979381443,0.7081339712918661,TFT
2023-07-23,0.6474820143884892,0.35,0.6774193548387096,0.46153846153846156,TFT
2023-07-30,0.6610169491525424,0.36923076923076925,0.7272727272727273,0.4897959183673469,TFT
2023-08-06,0.648876404494382,0.36363636363636365,0.5393258426966292,0.4343891402714932,TFT
2023-08-13,0.6856368563685636,0.27205882352941174,0.6851851851851852,0.3894736842105263,TFT
2023-08-20,0.7207446808510638,0.4473684210526316,0.5483870967741935,0.4927536231884058,TFT
2023-08-27,0.7512953367875648,0.589041095890411,0.7049180327868853,0.6417910447761194,TFT
2023-09-03,0.7061855670103093,0.6693548387096774,0.532051282051282,0.5928571428571429,TFT
2023-09-10,0.7010309278350515,0.5638297872340425,0.7571428571428571,0.6463414634146342,TFT
2023-09-17,0.7171052631578947,1.0,0.7171052631578947,0.8352490421455939,TFT
